src_ip,dst_ip,src_port,dst_port,protocol,timestamp,packets,bytes,duration_ms,flags,failed_conn_info,label
192.168.10.12,172.217.10.129,37608,443,TCP,2017-07-03T00:00:02Z,54,16747,117692.852,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.12,91.189.89.198,123,123,UDP,2017-07-03T00:00:02Z,2,96,93.81,NONE,NA,BENIGN
192.168.10.9,192.168.10.3,57580,53,UDP,2017-07-03T00:00:02Z,4,262,61.142,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,62266,53,UDP,2017-07-03T00:00:02Z,2,182,91.155,NONE,NA,BENIGN
192.168.10.12,208.75.89.4,123,123,UDP,2017-07-03T00:00:02Z,4,192,67077.395,NONE,NA,BENIGN
192.168.10.16,206.75.89.101,123,123,UDP,2017-07-03T00:00:02Z,4,192,68088.916,NONE,NA,BENIGN
192.168.10.50,45.127.112.2,123,123,UDP,2017-07-03T00:00:02Z,4,192,67022.344,NONE,NA,BENIGN
192.168.10.19,91.189.91.157,123,123,UDP,2017-07-03T00:00:03Z,4,192,66036.466,NONE,NA,BENIGN
192.168.10.9,192.168.10.3,123,123,UDP,2017-07-03T00:00:03Z,4,192,0.135,NONE,NA,BENIGN
192.168.10.14,192.168.10.3,55132,53,UDP,2017-07-03T00:00:03Z,4,172,0.176,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,62402,53,UDP,2017-07-03T00:00:03Z,2,140,30.906,NONE,NA,BENIGN
192.168.10.17,192.168.10.3,45249,3268,TCP,2017-07-03T00:00:03Z,37,11826,16406.507,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.3,192.168.10.1,61998,53,UDP,2017-07-03T00:00:03Z,2,266,230.835,NONE,NA,BENIGN
192.168.10.50,192.168.10.255,138,138,UDP,2017-07-03T00:00:03Z,11,2607,0.019,NONE,NA,BENIGN
192.168.10.5,23.208.84.183,49224,443,TCP,2017-07-03T00:00:03Z,384,403202,106646.055,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.16,206.75.89.101,123,123,UDP,2017-07-03T00:00:03Z,4,192,69088.927,NONE,NA,BENIGN
192.168.10.5,192.168.10.255,137,137,UDP,2017-07-03T00:00:03Z,351,17550,57586.986,NONE,NA,BENIGN
192.168.10.9,172.217.10.104,1214,443,TCP,2017-07-03T00:00:03Z,61,23139,117971.816,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.17,45.76.92.117,123,123,UDP,2017-07-03T00:00:03Z,4,192,67111.463,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,62469,53,UDP,2017-07-03T00:00:04Z,2,186,30.728,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60328,53,UDP,2017-07-03T00:00:04Z,2,209,60.634,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61978,53,UDP,2017-07-03T00:00:04Z,2,96,34.662,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,62515,53,UDP,2017-07-03T00:00:04Z,2,221,61.311,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61892,53,UDP,2017-07-03T00:00:04Z,2,116,30.564,NONE,NA,BENIGN
192.168.10.9,192.168.10.3,62824,53,UDP,2017-07-03T00:00:04Z,4,512,0.2,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61759,53,UDP,2017-07-03T00:00:04Z,2,174,30.584,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60897,53,UDP,2017-07-03T00:00:04Z,2,256,0.478,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,62181,53,UDP,2017-07-03T00:00:04Z,2,156,61.087,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61613,53,UDP,2017-07-03T00:00:04Z,2,170,30.233,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61303,53,UDP,2017-07-03T00:00:04Z,4,478,23306.512,NONE,NA,BENIGN
192.168.10.14,192.168.10.3,62041,53,UDP,2017-07-03T00:00:04Z,4,250,61.939,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61077,53,UDP,2017-07-03T00:00:04Z,2,132,30.689,NONE,NA,BENIGN
192.168.10.14,172.217.8.3,50073,443,TCP,2017-07-03T00:00:05Z,31,6167,117981.217,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.3,192.168.10.1,61133,53,UDP,2017-07-03T00:00:05Z,2,175,30.728,NONE,NA,BENIGN
192.168.10.14,192.168.10.3,60580,53,UDP,2017-07-03T00:00:05Z,4,314,31.699,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60620,53,UDP,2017-07-03T00:00:05Z,2,195,0.52,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61267,53,UDP,2017-07-03T00:00:05Z,2,150,32.788,NONE,NA,BENIGN
192.168.10.5,23.208.84.183,49232,443,TCP,2017-07-03T00:00:05Z,6,3,90093.669,ACK,CLEAN,BENIGN
192.168.10.17,45.76.244.202,123,123,UDP,2017-07-03T00:00:05Z,4,192,68077.248,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61367,53,UDP,2017-07-03T00:00:05Z,2,137,30.957,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61451,53,UDP,2017-07-03T00:00:05Z,4,500,2605.61,NONE,NA,BENIGN
192.168.10.19,66.228.48.38,123,123,UDP,2017-07-03T00:00:05Z,4,192,68059.525,NONE,NA,BENIGN
192.168.10.5,23.208.99.33,49289,443,TCP,2017-07-03T00:00:05Z,138,133280,92857.263,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.5,23.208.99.33,49290,443,TCP,2017-07-03T00:00:05Z,163,163742,95673.791,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.3,192.168.10.1,60213,53,UDP,2017-07-03T00:00:06Z,2,162,30.765,NONE,NA,BENIGN
192.168.10.14,23.50.75.27,50126,80,TCP,2017-07-03T00:00:06Z,33,4405,111651.375,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.14,172.217.6.226,50199,443,TCP,2017-07-03T00:00:06Z,100,15479,65304.041,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.3,192.168.10.1,61137,53,UDP,2017-07-03T00:00:06Z,2,242,121.277,NONE,NA,BENIGN
192.168.10.16,104.16.165.179,37570,443,TCP,2017-07-03T00:00:06Z,1729,2006841,118813.914,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.9,192.168.10.3,51631,53,UDP,2017-07-03T00:00:06Z,4,488,123.452,NONE,NA,BENIGN
192.168.10.12,152.2.133.52,123,123,UDP,2017-07-03T00:00:06Z,4,192,66045.649,NONE,NA,BENIGN
192.168.10.19,192.168.10.255,137,137,UDP,2017-07-03T00:00:06Z,13,650,0.025,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60491,53,UDP,2017-07-03T00:00:06Z,2,152,30.233,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61880,53,UDP,2017-07-03T00:00:06Z,4,297,10832.185,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61926,53,UDP,2017-07-03T00:00:06Z,2,192,120.5,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,62254,53,UDP,2017-07-03T00:00:06Z,2,151,50.037,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61574,53,UDP,2017-07-03T00:00:06Z,2,164,48.95,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60868,53,UDP,2017-07-03T00:00:07Z,2,162,60.869,NONE,NA,BENIGN
192.168.10.16,13.58.117.240,38310,443,TCP,2017-07-03T00:00:07Z,70,14709,112725.574,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.16,52.87.48.187,55398,443,TCP,2017-07-03T00:00:07Z,47,14320,116797.765,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.3,192.168.10.1,62396,53,UDP,2017-07-03T00:00:07Z,2,184,30.473,NONE,NA,BENIGN
192.168.10.14,192.168.10.3,61396,53,UDP,2017-07-03T00:00:07Z,4,220,0.199,NONE,NA,BENIGN
192.168.10.14,172.217.8.3,50073,443,TCP,2017-07-03T00:00:07Z,17,849,117365.682,"ACK,PSH",CLEAN,BENIGN
192.168.10.3,192.168.10.1,61649,53,UDP,2017-07-03T00:00:07Z,4,256,29336.111,NONE,NA,BENIGN
192.168.10.16,54.192.37.38,57244,443,TCP,2017-07-03T00:00:07Z,96,85828,117408.094,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.3,192.168.10.1,61396,53,UDP,2017-07-03T00:00:07Z,2,120,50.683,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60061,53,UDP,2017-07-03T00:00:07Z,2,181,60.34,NONE,NA,BENIGN
192.168.10.5,23.208.99.33,49286,443,TCP,2017-07-03T00:00:07Z,6,3,90076.292,ACK,CLEAN,BENIGN
192.168.10.3,192.168.10.1,61598,53,UDP,2017-07-03T00:00:07Z,2,165,30.626,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,62541,53,UDP,2017-07-03T00:00:08Z,2,167,31.082,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60352,53,UDP,2017-07-03T00:00:08Z,2,161,108.285,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61668,53,UDP,2017-07-03T00:00:08Z,2,168,30.978,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61642,53,UDP,2017-07-03T00:00:08Z,2,250,239.165,NONE,NA,BENIGN
192.168.10.5,172.217.11.35,49376,443,TCP,2017-07-03T00:00:08Z,26,5424,90283.725,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.5,199.16.156.232,49402,443,TCP,2017-07-03T00:00:08Z,31,5858,91307.185,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.12,216.58.217.67,40632,443,TCP,2017-07-03T00:00:08Z,76,10090,62039.428,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.3,192.168.10.1,61915,53,UDP,2017-07-03T00:00:08Z,2,208,92.38,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61006,53,UDP,2017-07-03T00:00:08Z,4,277,93597.373,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60448,53,UDP,2017-07-03T00:00:08Z,2,150,30.406,NONE,NA,BENIGN
192.168.10.14,23.61.187.27,50396,80,TCP,2017-07-03T00:00:08Z,33,4405,110674.712,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.16,158.69.247.184,123,123,UDP,2017-07-03T00:00:08Z,2,96,16.271,NONE,NA,BENIGN
192.168.10.12,66.235.147.246,43036,443,TCP,2017-07-03T00:00:08Z,53,14539,118855.511,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.3,192.168.10.1,62532,53,UDP,2017-07-03T00:00:09Z,2,144,30.53,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61367,53,UDP,2017-07-03T00:00:09Z,2,279,122.739,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,62046,53,UDP,2017-07-03T00:00:09Z,4,422,39645.895,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61830,53,UDP,2017-07-03T00:00:09Z,2,98,30.401,NONE,NA,BENIGN
192.168.10.16,146.20.132.102,44620,443,TCP,2017-07-03T00:00:09Z,11,2166,63884.047,"ACK,PSH",CLEAN,BENIGN
192.168.10.3,192.168.10.1,60211,53,UDP,2017-07-03T00:00:09Z,2,173,53.904,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60309,53,UDP,2017-07-03T00:00:09Z,2,254,127.958,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,62486,53,UDP,2017-07-03T00:00:09Z,2,96,30.58,NONE,NA,BENIGN
192.168.10.14,192.168.10.3,55248,53,UDP,2017-07-03T00:00:09Z,4,268,0.218,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60365,53,UDP,2017-07-03T00:00:09Z,2,373,309.768,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61210,53,UDP,2017-07-03T00:00:09Z,2,228,31.963,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,62266,53,UDP,2017-07-03T00:00:09Z,2,150,30.448,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60242,53,UDP,2017-07-03T00:00:10Z,2,144,52.188,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61012,53,UDP,2017-07-03T00:00:10Z,4,499,82601.687,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,62281,53,UDP,2017-07-03T00:00:10Z,2,167,61.076,NONE,NA,BENIGN
192.168.10.14,192.168.10.3,52914,53,UDP,2017-07-03T00:00:10Z,4,298,24.277,NONE,NA,BENIGN
192.168.10.17,91.189.89.199,123,123,UDP,2017-07-03T00:00:10Z,2,96,97.152,NONE,NA,BENIGN
192.168.10.8,72.21.91.29,49207,80,TCP,2017-07-03T00:00:10Z,36,3704,118437.858,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.3,192.168.10.1,61684,53,UDP,2017-07-03T00:00:10Z,2,120,47.808,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60380,53,UDP,2017-07-03T00:00:10Z,2,160,60.572,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60797,53,UDP,2017-07-03T00:00:10Z,2,125,85.403,NONE,NA,BENIGN
192.168.10.19,91.189.89.199,123,123,UDP,2017-07-03T00:00:10Z,4,192,64093.8,NONE,NA,BENIGN
192.168.10.19,66.228.48.38,123,123,UDP,2017-07-03T00:00:10Z,4,192,67057.905,NONE,NA,BENIGN
192.168.10.5,52.84.145.123,49469,443,TCP,2017-07-03T00:00:10Z,20,7169,90224.91,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.8,172.217.6.232,49262,443,TCP,2017-07-03T00:00:10Z,51,22612,117370.255,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.12,129.6.15.28,123,123,UDP,2017-07-03T00:00:11Z,4,192,68029.939,NONE,NA,BENIGN
192.168.10.16,207.210.46.249,123,123,UDP,2017-07-03T00:00:11Z,2,96,26.375,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61357,53,UDP,2017-07-03T00:00:11Z,2,196,2.061,NONE,NA,BENIGN
192.168.10.50,192.168.10.3,56818,3268,TCP,2017-07-03T00:00:11Z,6,950,0.346,"ACK,PSH",CLEAN,BENIGN
192.168.10.3,192.168.10.1,61804,53,UDP,2017-07-03T00:00:11Z,2,100,30.363,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,62514,53,UDP,2017-07-03T00:00:11Z,2,176,113.72,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60699,53,UDP,2017-07-03T00:00:11Z,2,322,64.978,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,62371,53,UDP,2017-07-03T00:00:11Z,2,150,23.687,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,62199,53,UDP,2017-07-03T00:00:11Z,2,164,30.998,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,62037,53,UDP,2017-07-03T00:00:11Z,2,150,30.8,NONE,NA,BENIGN
192.168.10.14,192.168.10.3,61922,53,UDP,2017-07-03T00:00:11Z,4,324,0.193,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61454,53,UDP,2017-07-03T00:00:11Z,2,231,69.531,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,62100,53,UDP,2017-07-03T00:00:12Z,2,153,30.725,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61813,53,UDP,2017-07-03T00:00:12Z,2,279,159.104,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60707,53,UDP,2017-07-03T00:00:12Z,2,173,51.988,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61486,53,UDP,2017-07-03T00:00:12Z,2,288,0.748,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61894,53,UDP,2017-07-03T00:00:12Z,2,146,30.515,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60469,53,UDP,2017-07-03T00:00:12Z,2,220,60.631,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60877,53,UDP,2017-07-03T00:00:12Z,2,130,31.029,NONE,NA,BENIGN
192.168.10.14,192.168.10.3,52857,53,UDP,2017-07-03T00:00:12Z,4,486,0.341,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60509,53,UDP,2017-07-03T00:00:12Z,2,207,33.73,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60199,53,UDP,2017-07-03T00:00:12Z,2,152,0.796,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60162,53,UDP,2017-07-03T00:00:12Z,2,140,30.871,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61973,53,UDP,2017-07-03T00:00:12Z,4,335,80512.245,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60490,53,UDP,2017-07-03T00:00:12Z,2,175,108.087,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60958,53,UDP,2017-07-03T00:00:13Z,2,266,30.578,NONE,NA,BENIGN
192.168.10.14,192.168.10.3,54224,53,UDP,2017-07-03T00:00:13Z,4,228,0.194,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,62104,53,UDP,2017-07-03T00:00:13Z,2,130,30.51,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61081,53,UDP,2017-07-03T00:00:13Z,2,403,46.623,NONE,NA,BENIGN
192.168.10.50,224.0.0.251,5353,5353,UDP,2017-07-03T00:00:13Z,13,585,0.014,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60315,53,UDP,2017-07-03T00:00:13Z,4,322,118934.731,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61165,53,UDP,2017-07-03T00:00:13Z,2,181,61.294,NONE,NA,BENIGN
192.168.10.12,192.168.10.255,138,138,UDP,2017-07-03T00:00:13Z,26,5759,0.055,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61098,53,UDP,2017-07-03T00:00:13Z,2,153,60.832,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61543,53,UDP,2017-07-03T00:00:13Z,2,128,31.479,NONE,NA,BENIGN
192.168.10.14,216.200.232.61,50203,443,TCP,2017-07-03T00:00:13Z,31,2994,115364.467,"ACK,PSH",CLEAN,BENIGN
192.168.10.17,69.10.161.7,123,123,UDP,2017-07-03T00:00:13Z,4,192,68104.421,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61443,53,UDP,2017-07-03T00:00:14Z,2,228,30.593,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61200,53,UDP,2017-07-03T00:00:14Z,2,174,80.245,NONE,NA,BENIGN
192.168.10.5,23.194.140.15,49492,443,TCP,2017-07-03T00:00:14Z,6,3,90088.178,ACK,CLEAN,BENIGN
192.168.10.3,192.168.10.1,60489,53,UDP,2017-07-03T00:00:14Z,2,163,45.928,NONE,NA,BENIGN
192.168.10.9,192.168.10.3,64995,53,UDP,2017-07-03T00:00:14Z,4,256,32.71,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60947,53,UDP,2017-07-03T00:00:14Z,2,165,31.488,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60225,53,UDP,2017-07-03T00:00:14Z,2,222,568.929,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60081,53,UDP,2017-07-03T00:00:14Z,2,225,61.795,NONE,NA,BENIGN
192.168.10.9,192.168.10.3,50604,53,UDP,2017-07-03T00:00:14Z,4,318,0.176,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61400,53,UDP,2017-07-03T00:00:14Z,4,413,11476.141,NONE,NA,BENIGN
192.168.10.16,23.12.36.193,52264,443,TCP,2017-07-03T00:00:14Z,39,7659,118130.95,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.3,192.168.10.1,62434,53,UDP,2017-07-03T00:00:14Z,4,354,7115.211,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60426,53,UDP,2017-07-03T00:00:14Z,4,308,1872.432,NONE,NA,BENIGN
192.168.10.16,172.217.10.106,39048,443,TCP,2017-07-03T00:00:15Z,21,2644,75807.183,"ACK,PSH",CLEAN,BENIGN
192.168.10.3,192.168.10.1,61500,53,UDP,2017-07-03T00:00:15Z,2,184,64.432,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61091,53,UDP,2017-07-03T00:00:15Z,2,160,32.11,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,62371,53,UDP,2017-07-03T00:00:15Z,2,159,100.928,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61194,53,UDP,2017-07-03T00:00:15Z,2,260,23.339,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,62057,53,UDP,2017-07-03T00:00:15Z,2,90,37.217,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60680,53,UDP,2017-07-03T00:00:15Z,2,138,23.488,NONE,NA,BENIGN
192.168.10.14,192.168.10.3,52037,53,UDP,2017-07-03T00:00:15Z,6,430,231.173,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61669,53,UDP,2017-07-03T00:00:15Z,4,347,66028.214,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61018,53,UDP,2017-07-03T00:00:15Z,2,215,119.897,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60168,53,UDP,2017-07-03T00:00:15Z,2,178,30.696,NONE,NA,BENIGN
192.168.10.19,192.168.10.3,123,123,UDP,2017-07-03T00:00:15Z,8,384,67000.33,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61575,53,UDP,2017-07-03T00:00:16Z,2,126,30.615,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60412,53,UDP,2017-07-03T00:00:16Z,2,140,130.964,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,62200,53,UDP,2017-07-03T00:00:16Z,2,306,370.721,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61110,53,UDP,2017-07-03T00:00:16Z,2,236,0.461,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60130,53,UDP,2017-07-03T00:00:16Z,2,162,0.5,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,62498,53,UDP,2017-07-03T00:00:16Z,2,166,30.666,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,62392,53,UDP,2017-07-03T00:00:16Z,2,106,33.287,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,62493,53,UDP,2017-07-03T00:00:16Z,4,370,101496.852,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60845,53,UDP,2017-07-03T00:00:16Z,2,181,60.894,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60439,53,UDP,2017-07-03T00:00:16Z,2,163,93.689,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61412,53,UDP,2017-07-03T00:00:16Z,2,235,46.744,NONE,NA,BENIGN
192.168.10.15,23.217.36.24,49520,443,TCP,2017-07-03T00:00:16Z,14,6738,139.037,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.14,192.168.10.3,51852,53,UDP,2017-07-03T00:00:16Z,4,338,31.718,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60444,53,UDP,2017-07-03T00:00:17Z,2,268,0.476,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60070,53,UDP,2017-07-03T00:00:17Z,2,163,30.679,NONE,NA,BENIGN
192.168.10.14,192.168.10.3,58459,53,UDP,2017-07-03T00:00:17Z,4,474,0.216,NONE,NA,BENIGN
192.168.10.14,192.168.10.3,51130,53,UDP,2017-07-03T00:00:17Z,4,366,0.217,NONE,NA,BENIGN
192.168.10.5,192.168.10.3,50980,53,UDP,2017-07-03T00:00:17Z,4,160,0.189,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60871,53,UDP,2017-07-03T00:00:17Z,2,199,138.113,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61480,53,UDP,2017-07-03T00:00:17Z,2,153,60.929,NONE,NA,BENIGN
